,Rating,N_Reviews,Device Retail Price,N Subscription Required,Subscription Costs,Personalized Analytics,Temp,Heart Rate,ECG,Respiratory Rate,Oxygen,Activity Tracking,Activity Display,Count Steps,Sitting/Standing,Fall Detection,Sleep/Wake,Body Orientation,Proximity Alarm,Bluetooth,Audio Monitoring,Camera Monitoring,Memory,Charging - Wireless,Charging - USB,Batteries Required,Battery Life,Battery Level Indicator (Hardware),Battery Level Indicator (Software),Reusable,Water Resistant IPX Rating,Adhesive Spray or Pads Required,Choking Hazard Regulation Compliant,HIPPA Compliant,FDA,Infants,Kids,Teen,Adults,Senior
"Inspired Biometrics 
sensei (FREE Subscription)
",,,$499,Y,$0,N,Y ,Y ,N,N,N,N,N,N,N,N,N,Y ,N,Y ,N,N,,,,,24,Y ,Y ,Y ,Y ,Y ,Y ,N,N,Y ,Y ,Y ,Y ,Y 
"Inspired Biometrics 
sensei (PAID Subscription)
",,,$499,N,$20,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,,,,,24,Y ,Y ,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y
"Monbaby Basic
",3.9,194,$70,Y,$0,N,N,N,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,,N,N,Y,504,N,Y ,Y,N,N,Y,,,,,,,
MonBaby Advanced,4.1,90,$99,Y,$0,N,Y,N,N,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,,N,N,Y,504,N,Y ,Y,N,N,Y,,,,,,,
"Temp Traq
",3.3,308,$19,Y,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,24,,,N,,N,Y,,Y,Y,Y,Y,Y,Y
Owlet,4,1969,$299,Y,$0,Y,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,18,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N
Owlet Duo (includes camera),,,$399,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,
Babysense petite clip,3.7,68,$50,N,,N,N,N,N,N,N,Y (Micro movements to track respiratory rate),N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,N,N/A,Y,N,N,,,N,Y,N,N,N,N
"Mimo smart baby monitor
(out of business)",2.9,67,$150,Y,N/A,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,,N,N,Y,120,N,N/A,Y,N,N,N,,N,Y,,,,
Fever Scout,3,96,$59.99,Y,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,,,Y,Y,168,,,Y,Yes,,,,Y,Y,Y,Y,Y,Y
Snuza Hero,4.4,93,$100,N,,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,Y,,Y,N,Y,N,N,N,,,Y,N,N,N,N
"Baby vida
",2.4,10,$150,N,,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,,,N,,Y,c,N,N,,,,,,,
"Sproutling
",2,23,$49,N,,N,N,N,N,N,N,N,N,N,N,N,Y,"Y, roll over",N,N,N,N,,,,,,,,Y,,,,,,,,,,