,Rating,N_Reviews,,Subscription Required,Subscription Cost,Personalized Analytics,Temp,Heart Rate,ECG,Respiratory Rate,Oxygen,Activit Tracking,Activity Display,Count Steps,Sitting/Standing,Fall Detection,Sleep/Wake,Body Orientation,Proximity Alarm,Bluetooth,Audio Monitoring,Camera Monitoring,Memory,Charging - Wireless,Charging - USB,Batteries Required,Battery Life,Battery Level Indicator (Hardware),Battery Level Indicator (Software),Reusable,Water Resistant IPX Rating,Adhesive Spray or Pads Required,Choking Hazard Regulation Compliant,HIPPA Compliant,FDA,Infants,Kids,Teen,Adults,Senior
"I0spired Biometrics 
se0sei (FREE Subscriptio0)
",,,499,1,$0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,24,1,1,1,1,1,1,0,0,1,1,1,1,1
"I0spired Biometrics 
se0sei (PAID Subscriptio0)
",,,499,0,$20,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,,,,,24,1,1,1,1,1,1,0,0,1,1,1,1,1
"Mo0bab1 Basic
",3.9,194,70,1,$0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,,0,0,1,504,0,1,1,0,0,1,,,,,,,
Mo0Bab1 Adva0ced,4.1,90,99,1,$0,0,1,0,0,1,,1,1,0,1,1,1,1,1,1,0,0,,0,0,1,504,0,1,1,0,0,1,,,,,,,
"Temp Traq
",3.3,308,19,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,24,,,0,,0,1,,1,1,1,1,1,1
Owlet,4,1969,299,1,$0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,18,0,1,1,0,0,1,1,0,1,0,0,0,0
Owlet Duo (i0cludes camera),,,399,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Bab1se0se petite clip,3.7,68,50,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,1,0,0,,,0,1,0,0,0,0
"Mimo smart bab1 mo0itor
(out of busi0ess)",2.9,67,150,1,,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,,0,0,1,120,0,,1,0,0,0,,0,1,,,,
Fever Scout,3,96,60,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,1,168,,,1,1,,,,1,1,1,1,1,1
S0uza Hero,4.4,93,100,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,,1,0,1,0,0,0,,,1,0,0,0,0
"Bab1 vida
",2.4,10,150,0,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,0,,1,c,0,0,,,,,,,
"Sproutli0g
",2,23,49,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,1,,,,,,,,,,